Entity,Code,Year,plugin_hybrid_share,battery_electric_share,petrol_share,diesel_gas_share,full_mild_hybrid_share
Denmark,DNK,2018,1.402466296,0.707850708,60.54017543,33.13617569,4.213331873
Denmark,DNK,2019,1.712553876,2.437808531,63.17259208,26.81677615,5.860269368
Europe,,2019,1.252664202,2.211368714,,,
Europe,,2020,5.198907677,6.212287682,,,
Finland,FIN,2001,0,0,83.33881669,16.66118331,0
Finland,FIN,2002,0,0,84.22370546,15.77629454,0
Finland,FIN,2003,0,0,84.99167261,15.00832739,0
Finland,FIN,2004,0,0,84.63770968,15.31801859,0.04427173
Finland,FIN,2005,0,0,83.21849195,16.73954244,0.041965615
Finland,FIN,2006,0,0,79.7979798,20.12696839,0.075051813
Finland,FIN,2007,0,0,71.68274692,28.19805117,0.119201907
Finland,FIN,2008,0,0.003595312,50.02516718,49.3621917,0.609045804
Finland,FIN,2009,0,0.001107898,52.807968,46.3267635,0.864160601
Finland,FIN,2010,0,0.012569017,57.25995421,41.71926202,1.008214751
Finland,FIN,2011,0,0.023777632,56.60582235,42.47002037,0.90037965
Finland,FIN,2012,0,0.094346404,58.98627035,39.62638824,1.292995004
Finland,FIN,2013,0,0.211608515,59.99826075,37.60640816,2.183722571
Finland,FIN,2014,0.230520977,0.189121292,58.06117744,39.32593784,2.193242442
Finland,FIN,2015,0.382180819,0.22416375,60.95784068,35.81658995,2.619224798
Finland,FIN,2016,1.575114038,0.178932955,61.69910702,33.17148162,3.375364376
Finland,FIN,2017,2.11293721,0.409608091,59.93763169,30.41382217,7.126000843
Finland,FIN,2018,3.987325497,0.642849441,62.2004529,24.04505752,9.12431464
Finland,FIN,2019,5.137160163,1.660452007,61.54788789,19.21992893,12.43457101
France,FRA,2001,0,0.018050926,43.75202907,56.22619451,0.003725498
France,FRA,2002,0,0.010862111,36.98828617,62.99847418,0.002377544
France,FRA,2003,0,0.005624,32.63303747,67.35954682,0.001791717
France,FRA,2004,0,0.02284342,30.77281772,69.17111658,0.033222278
France,FRA,2005,0,0.000290165,31.00035835,68.8612813,0.13807018
France,FRA,2006,0,0.000649817,28.29125016,71.3875401,0.320559923
France,FRA,2007,0,0.000290557,25.60960078,74.04332883,0.346779829
France,FRA,2008,0,0.000195095,22.15564598,77.43197152,0.412187403
France,FRA,2009,0,0.000445853,29.29726442,70.26388252,0.438407199
France,FRA,2010,0,0.008351712,29.00517942,70.5491841,0.437284768
France,FRA,2011,0,0.122541154,26.84777886,72.43844431,0.591235676
France,FRA,2012,0,0.317813691,25.32248979,73.02028891,1.339407608
France,FRA,2013,0,0.5215086,30.33791867,66.50370591,2.636866826
France,FRA,2014,0.075910874,0.622015966,33.52807683,63.4454586,2.32853773
France,FRA,2015,0.244170457,0.942474628,39.12057269,57.48029241,2.212489817
France,FRA,2016,0.387603347,1.086489132,44.16727285,51.99349306,2.36514161
France,FRA,2017,0.562237428,1.182792541,47.89748405,47.32529803,3.032187951
France,FRA,2018,0.615575156,1.430591141,55.15907649,38.92307473,3.871682485
France,FRA,2019,0.835023726,1.93922737,58.10079871,34.81114391,4.313806281
Germany,DEU,2001,0,0.001676042,65.40288147,34.57730532,0.018137164
Germany,DEU,2002,0,0.000584195,61.99306468,38.00220026,0.00415086
Germany,DEU,2003,0,0.000525256,60.1151917,39.87624972,0.008033325
Germany,DEU,2004,0,0.000306121,55.93716308,44.01036772,0.052163084
Germany,DEU,2005,0,0.000538809,57.241318,42.65104002,0.107103173
Germany,DEU,2006,0,0.000086543,55.56309762,44.28602914,0.150786704
Germany,DEU,2007,0,0.000190683,52.09340181,47.66757654,0.238830958
Germany,DEU,2008,0,0.000161902,55.76557116,44.03506278,0.199204155
Germany,DEU,2009,0,0.004011016,69.35452205,30.42785397,0.213612964
Germany,DEU,2010,0,0.013204582,58.43517367,41.20336828,0.348253468
Germany,DEU,2011,0,0.069450856,52.32759629,47.23401882,0.36893404
Germany,DEU,2012,0,0.115885532,50.93308616,48.29305673,0.657971575
Germany,DEU,2013,0,0.249408742,51.36919065,47.55353837,0.827862239
Germany,DEU,2014,0.114699594,0.315580308,50.97634613,47.85528553,0.738088432
Germany,DEU,2015,0.347544651,0.387657954,50.57485857,48.13328097,0.556657857
Germany,DEU,2016,0.410628848,0.341852544,52.29063881,45.97951033,0.977369463
Germany,DEU,2017,0.856952715,0.730537078,58.17694121,38.84912366,1.386445338
Germany,DEU,2018,0.870780434,1.052242751,63.3309018,32.3843578,2.361717215
Germany,DEU,2019,1.237577645,1.759369237,58.79349008,33.89959776,4.309965277
