STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,SVK,Slovak Republic,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2018,,884,,SVK,Slovak Republic,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,SVK,Slovak Republic,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2019,,1185,,SVK,Slovak Republic,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,SVK,Slovak Republic,_Z,Not applicable,VEH_STOCK_HYBRID,"Vehicles fleet, hybrid power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2019,,5944,,SVK,Slovak Republic,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,SVK,Slovak Republic,_Z,Not applicable,VEH_STOCK_HYBRID,"Vehicles fleet, hybrid power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2020,,19515,,SVK,Slovak Republic,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,SVK,Slovak Republic,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2020,,2281,,SVK,Slovak Republic,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,SVK,Slovak Republic,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2021,,3701,,SVK,Slovak Republic,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,SVK,Slovak Republic,_Z,Not applicable,VEH_STOCK_HYBRID,"Vehicles fleet, hybrid power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2021,,37002,,SVK,Slovak Republic,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,SVK,Slovak Republic,_Z,Not applicable,VEH_STOCK_HYBRID,"Vehicles fleet, hybrid power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2022,,57884,,SVK,Slovak Republic,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,SVK,Slovak Republic,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2022,,5757,,SVK,Slovak Republic,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,SVK,Slovak Republic,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2023,,7436,,SVK,Slovak Republic,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,SVK,Slovak Republic,_Z,Not applicable,VEH_STOCK_HYBRID,"Vehicles fleet, hybrid power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2023,,80592,,SVK,Slovak Republic,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,893,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_HYBRID,"Vehicles fleet, hybrid power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,956,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_HYBRID,"Vehicles fleet, hybrid power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2001,,871,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2001,,697,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2002,,500,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_HYBRID,"Vehicles fleet, hybrid power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2002,,862,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_HYBRID,"Vehicles fleet, hybrid power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2003,,1398,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2003,,402,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2004,,264,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_HYBRID,"Vehicles fleet, hybrid power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2004,,1492,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_HYBRID,"Vehicles fleet, hybrid power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2005,,1396,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2005,,187,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2006,,130,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_HYBRID,"Vehicles fleet, hybrid power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2006,,1482,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_HYBRID,"Vehicles fleet, hybrid power engine",_Z,Not applicable,_Z,Not applicable,UT,Units,2007,,1727,,HUN,Hungary,A,Normal value,0,Units,0,Zero
