Segment,Modellreihe,Insgesamt,,,,,,Gasoline,,,,,Diesel,,,,,,"Erdgas 
(CNG)
(einschl. bivalent)","Flüssiggas 
(LPG)
(einschl. bivalent)",Hybrid,,"Elektro
(BEV)",Other
,,Anzahl,"CO2-Emission
in g/km","Leermasse
in kg","CO2-Emission
je 1 000kg","NOx-Emission
in mg/km","Fahrgeräusch
in dB",Anzahl,"CO2-Emission
in g/km","Kraftstoff-
verbrauch
in l/100km","NOx-Emission
in mg/km","Fahrgeräusch
in dB",Anzahl,"CO2-Emission
in g/km","Kraftstoff-
verbrauch
in l/100km","NOx-Emission
in mg/km","Fahrgeräusch
in dB","Partikelmasse
in mg/km",,,Insgesamt,of which: Plug-in,,
,KIA CEED,20457,134.3,1526,88,21.2,67.1,17270,142.5,6.1,23,67,-,-,-,-,-,-,-,-,3187,1235,-,-
,MAZDA 3,3743,133.2,1445,92.2,15.4,65.2,1,202,8.7,-,66,-,-,-,-,-,-,-,-,3742,-,-,-
,MAZDA MX-5,1617,152.6,1124,135.8,20.2,67,1617,152.6,6.6,20.2,67,-,-,-,-,-,-,-,-,-,-,-,-
,MERCEDES A-KLASSE,17406,127.9,1508,84.8,15.3,67.9,398,198.1,8.5,17.9,69.8,3014,133,5,17.6,68,0.9,-,-,13994,1926,-,-
,MG ROEWE 4,12004,0,1735,0,0,66.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12004,-
,NISSAN LEAF,488,0,1726,0,0,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,488,-
,OPEL ASTRA,47601,117.8,1554,75.8,35.8,66.9,27113,128.6,5.5,35.3,66.4,14001,131.1,4.9,51,68,0.4,-,-,4995,3323,1492,-
,PEUGEOT 308,12776,121.8,1562,77.9,36.5,66.8,7129,129.9,5.6,36.5,66,3753,131.4,5,50.9,68,0.4,-,-,1598,522,296,-
,RENAULT MEGANE,2655,65.8,1665,39.5,6.6,65.4,408,141.2,6.1,18.3,66.3,946,123.6,4.7,10.5,67,0.1,-,-,9,9,1292,-
,SEAT BORN,16640,0,1857,0,0,65.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16640,-
