Segment,Modellreihe,Insgesamt,,,,,,Gasoline,,,,,Diesel,,,,,,"Erdgas 
(CNG)
(einschl. bivalent)","Flüssiggas 
(LPG)
(einschl. bivalent)",Hybrid,,"Elektro
(BEV)",Other
,,Anzahl,"CO2-Emission
in g/km","Leermasse
in kg","CO2-Emission
je 1 000kg","NOx-Emission
in mg/km","Fahrgeräusch
in dB",Anzahl,"CO2-Emission
in g/km","Kraftstoff-
verbrauch
in l/100km","NOx-Emission
in mg/km","Fahrgeräusch
in dB",Anzahl,"CO2-Emission
in g/km","Kraftstoff-
verbrauch
in l/100km","NOx-Emission
in mg/km","Fahrgeräusch
in dB","Partikelmasse
in mg/km",,,Insgesamt,of which: Plug-in,,
,MERCEDES B-KLASSE,8417,130.1,1538,84.5,15.8,67.9,2,156.5,6.7,18.2,69.5,1352,136.8,5.2,17.7,68.3,0.9,-,-,7063,804,-,-
,PEUGEOT 3008,10269,125.4,1697,73.9,27.3,66.7,2941,144.3,6.2,34.9,67.5,539,143.6,5.4,50.4,68,0.2,-,-,6389,172,400,-
,RENAULT SCENIC,1698,2.9,1978,1.5,0.3,64.1,33,151.8,6.5,16.9,67.3,-,-,-,-,-,-,-,-,-,-,1665,-
,SONSTIGE,1,165,1730,95.4,41.5,68,-,-,-,-,-,1,165,6.2,41.5,68,0.6,-,-,-,-,-,-
MINI-VANS ZUSAMMEN,,21057,113.2,1661,68.2,19.7,67,2976,144.4,6.2,34.7,67.5,1892,138.7,5.2,27,68.2,0.7,-,-,13452,976,2737,-
GROSSRAUM-VANS,DACIA JOGGER,15158,121.1,1360,89.1,19.6,68.1,7120,129.6,5.6,23,68,-,-,-,-,-,-,-,4647,3391,-,-,-
,FIAT ULYSSE,20,0,2152.15,0,0,68.05,-,-,-,-,-,1,-,-,-,69,-,-,-,-,-,19,-
,FORD GALAXY,21,148.3,2045,72.5,5.7,67,1,149,6.4,-,67,-,-,-,-,-,-,-,-,20,-,-,-
,FORD S-MAX,66,147.2,1972,74.6,5.7,67,-,-,-,-,-,1,170,6.4,-,68,-,-,-,65,-,-,-
,LEXUS LM,181,165.8,2430,68.2,5,67,-,-,-,-,-,-,-,-,-,-,-,-,-,181,1,-,-
,MAXUS MIFA 9,20,0,2558.9,0,0,65.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-
,MERCEDES V-KLASSE,19662,183.2,2354,77.8,21.1,68.8,7,230,9.9,-,72.1,17315,207.6,7.8,23.9,68.9,0.3,-,-,59,-,2281,-
,PEUGEOT 5008,5439,134.7,1763,76.4,34.6,66.7,923,144.3,6.2,43.5,67.4,2005,147,5.5,50.5,68,0.2,-,-,2336,-,175,-
,RENAULT ESPACE,2450,108.2,1783,60.7,49.5,67,-,-,-,-,-,4,165.75,6.3,20.8,68,0.3,-,-,2446,-,-,-
,VW TOURAN,20104,148.9,1620,91.9,19.6,68.3,8678,151.9,6.5,14.2,68,11426,146.5,5.5,25.1,68.5,0.4,-,-,-,-,-,-
,SONSTIGE,1,-,1896,-,147.7,74,-,-,-,-,-,1,-,-,147.7,74,0.6,-,-,-,-,-,-
GROSSRAUM-VANS ZUSAMMEN,,63122,150.1,1808,83,22.6,68.2,16729,142.1,6.1,19.6,68,30753,181.2,6.8,26.2,68.7,0.4,-,4647,8498,1,2495,-
UTILITIES,CITROEN BERLINGO,2764,123.8,1745,71,38.7,68.6,791,143.8,6.2,18.1,68.9,1548,148,5.6,59.8,68.6,0.3,-,-,-,-,424,1
,CITROEN JUMPER,242,263.3,2901,90.8,43,70.1,1,347,15,-,70,241,262.9,9.9,43,70.1,0.4,-,-,-,-,-,-
,CITROEN JUMPY,1336,177,2302,76.9,24.9,69,-,-,-,-,-,1228,192.89,7.3,27.2,69.1,0.5,-,-,-,-,108,-
,FIAT DOBLO,25,19,1885.48,10.1,5.9,68.16,-,-,-,-,-,4,152.3,5.7,67.7,69,0.2,-,-,-,-,21,-
,FIAT DUCATO,472,265.6,3061,86.8,70.5,71.6,2,-,-,-,71,470,265.6,10,70.5,71.6,0.7,-,-,-,-,-,-
,FORD TRANSIT CONNECT,5888,142.8,1665,85.8,35.2,68.4,1771,152.6,6.6,26.2,68.2,4103,139,5.2,39.2,68.6,0.3,-,-,14,14,-,-
,FORD TRANSIT COURIER,3810,156.6,1529,102.4,22.8,66.8,3810,156.6,6.8,22.8,66.8,-,-,-,-,-,-,-,-,-,-,-,-
,FORD TRANSIT CUSTOM,6989,200,2520,79.4,12.9,70,1,205,8.8,-,71,6484,211.5,8,13.5,69.9,2.2,-,-,379,333,123,2
,"FORD TRANSIT, TOURNEO",3218,230.8,2643,87.3,36.7,71.6,1,278,12,-,70,3180,231.5,8.7,36.7,71.6,0.9,-,-,29,-,8,-
,HYUNDAI STARIA,2541,220.3,2422,90.9,20.9,68.8,-,-,-,-,-,2269,225.6,8.5,22.8,69,0.5,-,-,272,-,-,-
,IVECO DAILY,55,174.2,4512,38.6,-,72,-,-,-,-,-,53,217.75,8.2,-,72.1,-,1,-,-,-,1,-
,MAN TGE,577,252.6,3013,83.8,-,72.5,-,-,-,-,-,573,254.6,9.6,-,72.5,-,-,-,-,-,3,1
,MERCEDES CITAN,4369,128.5,1679,76.6,16.4,67.4,1807,157.7,6.8,18.5,66.6,1955,141.9,5.4,19.5,68.6,0.2,-,-,-,-,607,-
,MERCEDES SPRINTER,3576,245.5,3115,78.8,33.5,71.1,-,-,-,-,-,3568,256.1,9.7,33.5,71.1,0.8,-,-,-,-,8,-
,MERCEDES VITO,8212,185.8,2144,86.7,22.5,69.3,2,-,-,-,74,7884,193.6,7.3,23.5,69.4,0.3,-,-,4,-,322,-
,NISSAN PRIMASTAR,1394,184.4,2246,82.1,34.1,69.9,-,-,-,-,-,1394,184.4,7,34.1,69.9,0.2,-,-,-,-,-,-
,NISSAN TOWNSTAR,2365,146.9,1697,86.6,10.9,67.9,2260,153.8,6.6,11.5,68,-,-,-,-,-,-,-,-,-,-,105,-
,OPEL COMBO,1647,112.1,1800,62.3,50.6,68.7,28,150,6.5,32,67.7,1225,147.7,5.6,67.1,69,0.2,-,-,-,-,394,-
,OPEL MOVANO,58,241.7,2686,90,-,70,-,-,-,-,-,58,241.7,9.1,-,70,-,-,-,-,-,-,-
,OPEL VIVARO,17,192.5625,1959,98.3,-,69.4,-,-,-,-,-,17,192.5625,7.3,-,69.4,-,-,-,-,-,-,-
,OPEL ZAFIRA LIFE,1618,159.6,2297,69.5,22.9,68.8,-,-,-,-,-,1340,192.9,7.3,27.7,69,0.5,-,-,-,-,278,-
,PEUGEOT BOXER,52,259.4,2966,87.5,-,70,1,-,-,-,71,51,259.4,9.8,-,70.02,-,-,-,-,-,-,-
,PEUGEOT EXPERT,197,112.7,2340,48.2,15.9,68.5,-,-,-,-,-,118,190.9,7.2,27.6,69,0.5,-,-,-,-,79,-
,PEUGEOT RIFTER,404,54.9,1922,28.6,19.5,67.9,29,157.3,6.8,35.1,67.3,119,152.4,5.7,66.6,68.9,0.2,-,-,-,-,256,-
,RENAULT KANGOO,4960,142.7,1739,82,15.7,67,3791,156.5,6.7,16.8,66.8,813,141.2,5.3,17.8,68.5,0.2,-,-,-,-,356,-
,RENAULT MASTER,266,268.7,2486,108.1,131.8,70.9,1,-,-,14.5,68,265,268.7,10.1,132.3,71,0.5,-,-,-,-,-,-
,RENAULT TRAFIC,2762,187.7,2289,82,34.7,69.7,3,192,8.3,-,69.7,2759,187.7,7.1,34.7,69.7,0.2,-,-,-,-,-,-
,TOYOTA PROACE,5941,166.8,1985,84,35.3,69.1,1503,146.4,6.3,17.2,69,4342,177.6,6.7,42.4,69.2,0.4,-,-,-,-,96,-
,VW CADDY,19074,143.4,1648,87,30.5,67.6,6813,151.7,6.5,25.4,67.4,12055,139.6,5.3,33.7,67.7,0.4,94,-,112,112,-,-
,VW CRAFTER,654,242.9,2794,86.9,52.5,72,-,-,-,-,-,654,242.9,9.2,52.5,72,0.4,-,-,-,-,-,-
,VW ID. BUZZ,4767,0,2515,0,0,67.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4767,-
,VW TRANSPORTER,26329,184.7,2092,88.3,33.6,68.9,2996,199.5,8.6,20.8,69,22564,187.2,7.1,36.1,68.9,0.4,-,-,769,769,-,-
,SONSTIGE,20,197.9,3610.85,54.8,-,72.7,-,-,-,-,-,20,197.9,7.5,-,72.7,-,-,-,-,-,-,-
UTILITIES ZUSAMMEN,,116599,161.4,2052,78.7,27.5,68.7,25611,158.9,6.8,20.8,67.6,81354,180.8,6.8,33.1,69.2,0.5,95,-,1579,1228,7956,4
WOHNMOBILE,CITROEN JUMPER,9406,265.6,2939,90.4,39.2,70.1,37,286.8,12.4,-,70.7,9368,265.6,10,39.2,70.1,0.4,-,-,-,-,-,1
,CITROEN JUMPY,772,202.3,2246,90.1,21,69.4,-,-,-,-,-,757,206.5,7.8,21.9,69.4,0.4,-,-,-,-,15,-
,FIAT DUCATO,26368,264.9,3118,85,57.7,71.4,58,283.2,12.2,-,71.8,26301,264.8,10,57.7,71.4,0.5,1,1,-,-,-,7
,FORD TRANSIT CUSTOM,2957,227.3,2807,81,23.5,71,2,205,8.8,-,71,2944,227.4,8.6,23.5,71,0.7,-,-,3,-,-,8
,"FORD TRANSIT, TOURNEO",6912,287.2,3009,95.5,171.4,70,29,313.4,13.5,-,71.1,6878,287.1,10.8,171.4,70,1.9,-,1,1,-,-,3
,IVECO DAILY,910,371.7,5339,69.6,115.2,72.2,1,400,17.2,-,72,908,357.5,13.5,115.2,72.2,0.8,1,-,-,-,-,-
,IVECO EUROCARGO,38,-,7482,-,-,76.3,-,-,-,-,-,38,-,-,-,76.3,-,-,-,-,-,-,-
,MAN TGE,736,300.9,3349.25,89.8,-,72.7,-,-,-,-,-,736,300.9,11.4,-,72.7,-,-,-,-,-,-,-
,MAN TGM,29,-,10991,-,-,77.7,-,-,-,-,-,29,-,-,-,77.7,-,-,-,-,-,-,-
,MAN TGS,8,-,15241.875,-,-,79.5,-,-,-,-,-,8,-,-,-,79.5,-,-,-,-,-,-,-
,MERCEDES AROCS,21,-,15643,-,-,77.7,-,-,-,-,-,21,-,-,-,77.7,-,-,-,-,-,-,-
,MERCEDES ATEGO,25,-,8386.84,-,-,77.16,-,-,-,-,-,25,-,-,-,77.16,-,-,-,-,-,-,-
,MERCEDES SPRINTER,5068,343.8,3794,90.6,7.1,70.9,6,-,-,-,70.5,5059,343.8,13,7.1,70.9,2.4,-,-,1,-,-,2
,MERCEDES V-KLASSE,1522,219.4,2482,88.4,24.5,69.3,1,225,9.7,-,70,1516,220.1,8.3,24.5,69.3,0.4,-,-,-,-,5,-
,MERCEDES VITO,415,211.3,2355,89.7,24.6,70,1,208,9,-,70,414,211.3,8,24.6,70,0.5,-,-,-,-,-,-
,NISSAN PRIMASTAR,162,251.1,2708,92.7,-,70.1,-,-,-,-,-,162,251.1,9.5,-,70.1,-,-,-,-,-,-,-
,OPEL MOVANO,500,257.2,3056,84.2,-,70.1,-,-,-,-,-,500,257.2,9.7,-,70.1,-,-,-,-,-,-,-
,OPEL VIVARO,121,200.3,2174,92.1,-,69.5,-,-,-,-,-,121,200.3,7.6,-,69.5,-,-,-,-,-,-,-
,OPEL ZAFIRA LIFE,408,213.4,2385,89.5,18.7,69.1,-,-,-,-,-,408,213.4,8.1,18.7,69.1,0.5,-,-,-,-,-,-
,PEUGEOT BOXER,2704,267.4,2964,90.2,31.4,70.1,19,303.9,13.1,-,70,2684,267.1,10.1,31.4,70.1,0.4,-,-,-,-,-,1
,PEUGEOT EXPERT,109,202.9,2283,88.9,26.85,69.3,-,-,-,-,-,109,202.9,7.7,26.85,69.3,0.5,-,-,-,-,-,-
,RENAULT MASTER,1140,317.2,3014,105.2,-,70.9,28,329,14.2,-,70.9,1112,317.1,12,-,70.9,-,-,-,-,-,-,-
,RENAULT TRAFIC,406,237.4,2473,96,-,69.7,4,248.7,10.7,-,70,402,237.3,9,-,69.7225,-,-,-,-,-,-,-
,TOYOTA PROACE,52,199,2349,84.7,17.2,69.2,-,-,-,-,-,52,199,7.5,17.2,69.2,0.5,-,-,-,-,-,-
,VW CADDY,144,151.2,1729.75,87.4,28.9,67.8,87,155.2,6.7,26.2,67.8,57,145.3,5.5,33.1,67.8,0.4,-,-,-,-,-,-
,VW CRAFTER,3510,303.9,3235,93.9,52.9,72.9,-,-,-,-,-,3509,304,11.5,52.9,72.9,0.5,-,-,-,-,1,-
,VW TRANSPORTER,7988,214.9,2499,86,41.5,69.4,44,237.25,10.2,16.6,68.9,7934,214.7,8.1,41.6,69.4,0.3,-,-,10,10,-,-
,SONSTIGE,1065,255.9,4651,55,41.825,72,31,249.6,10.8,-,71.5,1032,257.5,9.7,41.825,72,0.45,-,-,-,-,2,-
WOHNMOBILE ZUSAMMEN,,73496,255.4,3072,83.1,49.9,70.8,348,227.5,9.8,23.9,70,73084,255.7,9.6,50,70.8,0.5,2,2,15,10,23,22
SONSTIGE,,18237,158.2,1981,79.9,14.2,69.8,10708,269.1,11.6,15.1,70.4,1078,226.8,8.6,35.8,69.3,0.1,-,200,2493,804,3706,52
NEUZULASSUNGEN INSGESAMT,,2817331,119.8,1706,70.2,17.6,67.6,991948,146.3,6.3,20.6,67.7,483261,162.4,6.1,31.3,68.4,0.5,137,13711,947398,191905,380609,267
,,,,,,,,,,,,,,,,,,,,,,,,
Hinweise:,,,,,,,,,,,,,,,,,,,,,,,,
Betrifft Modellreihe: Ausgewiesen werden Modellreihen mit mindestens 5 neu zugelassenen Fahrzeugen in einem Monat (Ausnahme: Oberklasse und Sportwagen).,,,,,,,,,,,,,,,,,,,,,,,,
"Betrifft CO2-Emission, Leermasse, NOx-Emission, Fahrgeräusch, Kraftstoffverbrauch und Partikelmasse: Diese enthalten arithmetische Mittelwerte.",,,,,,,,,,,,,,,,,,,,,,,,
Betrifft die Werte zu NOx sowie Partikelmasse: Diese sind nicht in den Zulassungsdokumenten enthalten und werden daher direkt aus der Typgenehmigung entnommen.,,,,,,,,,,,,,,,,,,,,,,,,
"© Federal Motor Transport Authority, Flensburg",,,,,,,,,,,,,,,,,,,,,,,,
